LIBGEO,AN,ANNEE_CONS,NOMBRE
Aigaliers,2022,Construites avant 1919,
Aigremont,2022,Construites avant 1919,
Aigues-Mortes,2022,Construites avant 1919,
Aigues-Vives,2022,Construites avant 1919,
Aiguèze,2022,Construites avant 1919,
Aimargues,2022,Construites avant 1919,
Alès,2022,Construites avant 1919,
Allègre-les-Fumades,2022,Construites avant 1919,
Alzon,2022,Construites avant 1919,
Anduze,2022,Construites avant 1919,
Les Angles,2022,Construites avant 1919,
Aramon,2022,Construites avant 1919,
Argilliers,2022,Construites avant 1919,
Arpaillargues-et-Aureillac,2022,Construites avant 1919,
Arphy,2022,Construites avant 1919,
Arre,2022,Construites avant 1919,
Arrigas,2022,Construites avant 1919,
Aspères,2022,Construites avant 1919,
Aubais,2022,Construites avant 1919,
Aubord,2022,Construites avant 1919,
Aubussargues,2022,Construites avant 1919,
Aujac,2022,Construites avant 1919,
Aujargues,2022,Construites avant 1919,
Aulas,2022,Construites avant 1919,
Aumessas,2022,Construites avant 1919,
Avèze,2022,Construites avant 1919,
Bagard,2022,Construites avant 1919,
Bagnols-sur-Cèze,2022,Construites avant 1919,
Barjac,2022,Construites avant 1919,
Baron,2022,Construites avant 1919,
La Bastide-d'Engras,2022,Construites avant 1919,
Beaucaire,2022,Construites avant 1919,
Beauvoisin,2022,Construites avant 1919,
Bellegarde,2022,Construites avant 1919,
Belvézet,2022,Construites avant 1919,
Bernis,2022,Construites avant 1919,
Bessèges,2022,Construites avant 1919,
Bez-et-Esparon,2022,Construites avant 1919,
Bezouce,2022,Construites avant 1919,
Blandas,2022,Construites avant 1919,
Blauzac,2022,Construites avant 1919,
Boisset-et-Gaujac,2022,Construites avant 1919,
Boissières,2022,Construites avant 1919,
Bonnevaux,2022,Construites avant 1919,
Bordezac,2022,Construites avant 1919,
Boucoiran-et-Nozières,2022,Construites avant 1919,
Bouillargues,2022,Construites avant 1919,
Bouquet,2022,Construites avant 1919,
Bourdic,2022,Construites avant 1919,
Bragassargues,2022,Construites avant 1919,
Branoux-les-Taillades,2022,Construites avant 1919,
Bréau-Mars,2022,Construites avant 1919,
Brignon,2022,Construites avant 1919,
Brouzet-lès-Quissac,2022,Construites avant 1919,
Brouzet-lès-Alès,2022,Construites avant 1919,
La Bruguière,2022,Construites avant 1919,
Cabrières,2022,Construites avant 1919,
La Cadière-et-Cambo,2022,Construites avant 1919,
Le Cailar,2022,Construites avant 1919,
Caissargues,2022,Construites avant 1919,
La Calmette,2022,Construites avant 1919,
Calvisson,2022,Construites avant 1919,
Campestre-et-Luc,2022,Construites avant 1919,
Canaules-et-Argentières,2022,Construites avant 1919,
Cannes-et-Clairan,2022,Construites avant 1919,
La Capelle-et-Masmolène,2022,Construites avant 1919,
Cardet,2022,Construites avant 1919,
Carnas,2022,Construites avant 1919,
Carsan,2022,Construites avant 1919,
Cassagnoles,2022,Construites avant 1919,
Castelnau-Valence,2022,Construites avant 1919,
Castillon-du-Gard,2022,Construites avant 1919,
Causse-Bégon,2022,Construites avant 1919,
Caveirac,2022,Construites avant 1919,
Cavillargues,2022,Construites avant 1919,
Cendras,2022,Construites avant 1919,
Chambon,2022,Construites avant 1919,
Chamborigaud,2022,Construites avant 1919,
Chusclan,2022,Construites avant 1919,
Clarensac,2022,Construites avant 1919,
Codognan,2022,Construites avant 1919,
Codolet,2022,Construites avant 1919,
Collias,2022,Construites avant 1919,
Collorgues,2022,Construites avant 1919,
Colognac,2022,Construites avant 1919,
Combas,2022,Construites avant 1919,
Comps,2022,Construites avant 1919,
Concoules,2022,Construites avant 1919,
Congénies,2022,Construites avant 1919,
Connaux,2022,Construites avant 1919,
Conqueyrac,2022,Construites avant 1919,
Corconne,2022,Construites avant 1919,
Cornillon,2022,Construites avant 1919,
Courry,2022,Construites avant 1919,
Crespian,2022,Construites avant 1919,
Cros,2022,Construites avant 1919,
Cruviers-Lascours,2022,Construites avant 1919,
Deaux,2022,Construites avant 1919,
Dions,2022,Construites avant 1919,
Domazan,2022,Construites avant 1919,
