AN,LIBGEO,STATUT,NOMBRE
2022,Aigaliers,Locataire HLM (logement loué vide),0.0
2022,Aigremont,Locataire HLM (logement loué vide),0.0
2022,Aigues-Mortes,Locataire HLM (logement loué vide),398.059524867439
2022,Aigues-Vives,Locataire HLM (logement loué vide),45.4696089360728
2022,Aiguèze,Locataire HLM (logement loué vide),0.0
2022,Aimargues,Locataire HLM (logement loué vide),127.091038542694
2022,Alès,Locataire HLM (logement loué vide),5351.8309759044
2022,Allègre-les-Fumades,Locataire HLM (logement loué vide),1.028641763054
2022,Alzon,Locataire HLM (logement loué vide),0.0
2022,Anduze,Locataire HLM (logement loué vide),81.4275413168678
2022,Les Angles,Locataire HLM (logement loué vide),411.827509368008
2022,Aramon,Locataire HLM (logement loué vide),273.0
2022,Argilliers,Locataire HLM (logement loué vide),0.0
2022,Arpaillargues-et-Aureillac,Locataire HLM (logement loué vide),0.0
2022,Arphy,Locataire HLM (logement loué vide),0.0
2022,Arre,Locataire HLM (logement loué vide),8.0
2022,Arrigas,Locataire HLM (logement loué vide),0.977127234705693
2022,Aspères,Locataire HLM (logement loué vide),0.0
2022,Aubais,Locataire HLM (logement loué vide),12.4880576867961
2022,Aubord,Locataire HLM (logement loué vide),21.5711928319916
2022,Aubussargues,Locataire HLM (logement loué vide),0.0
2022,Aujac,Locataire HLM (logement loué vide),0.0
2022,Aujargues,Locataire HLM (logement loué vide),0.0
2022,Aulas,Locataire HLM (logement loué vide),8.19798199713283
2022,Aumessas,Locataire HLM (logement loué vide),0.0
2022,Avèze,Locataire HLM (logement loué vide),0.0
2022,Bagard,Locataire HLM (logement loué vide),0.0
2022,Bagnols-sur-Cèze,Locataire HLM (logement loué vide),2151.13625650345
2022,Barjac,Locataire HLM (logement loué vide),63.0
2022,Baron,Locataire HLM (logement loué vide),0.0
2022,La Bastide-d'Engras,Locataire HLM (logement loué vide),0.0
2022,Beaucaire,Locataire HLM (logement loué vide),1074.38030472846
2022,Beauvoisin,Locataire HLM (logement loué vide),124.100724941269
2022,Bellegarde,Locataire HLM (logement loué vide),224.0
2022,Belvézet,Locataire HLM (logement loué vide),0.0
2022,Bernis,Locataire HLM (logement loué vide),7.75607047149954
2022,Bessèges,Locataire HLM (logement loué vide),173.0
2022,Bez-et-Esparon,Locataire HLM (logement loué vide),0.0
2022,Bezouce,Locataire HLM (logement loué vide),27.0
2022,Blandas,Locataire HLM (logement loué vide),0.0
2022,Blauzac,Locataire HLM (logement loué vide),9.97153543502865
2022,Boisset-et-Gaujac,Locataire HLM (logement loué vide),42.8299191090833
2022,Boissières,Locataire HLM (logement loué vide),0.0
2022,Bonnevaux,Locataire HLM (logement loué vide),1.0
2022,Bordezac,Locataire HLM (logement loué vide),28.7572998913079
2022,Boucoiran-et-Nozières,Locataire HLM (logement loué vide),3.19913629414867
2022,Bouillargues,Locataire HLM (logement loué vide),156.416737348821
2022,Bouquet,Locataire HLM (logement loué vide),0.0
2022,Bourdic,Locataire HLM (logement loué vide),0.0
2022,Bragassargues,Locataire HLM (logement loué vide),0.0
2022,Branoux-les-Taillades,Locataire HLM (logement loué vide),39.4371399679009
2022,Bréau-Mars,Locataire HLM (logement loué vide),7.9924558686251
2022,Brignon,Locataire HLM (logement loué vide),14.0
2022,Brouzet-lès-Quissac,Locataire HLM (logement loué vide),0.0
2022,Brouzet-lès-Alès,Locataire HLM (logement loué vide),0.0
2022,La Bruguière,Locataire HLM (logement loué vide),0.0
2022,Cabrières,Locataire HLM (logement loué vide),8.74350576951508
