LIBGEO,AN,TYPO,NOMBRE
Aigaliers,2022,T1,5
Aigremont,2022,T1,4
Aigues-Mortes,2022,T1,74
Aigues-Vives,2022,T1,25
Aiguèze,2022,T1,0
Aimargues,2022,T1,27
Alès,2022,T1,1388
Allègre-les-Fumades,2022,T1,8
Alzon,2022,T1,1
Anduze,2022,T1,58
Les Angles,2022,T1,101
Aramon,2022,T1,47
Argilliers,2022,T1,0
Arpaillargues-et-Aureillac,2022,T1,2
Arphy,2022,T1,3
Arre,2022,T1,1
Arrigas,2022,T1,0
Aspères,2022,T1,0
Aubais,2022,T1,24
Aubord,2022,T1,2
Aubussargues,2022,T1,1
Aujac,2022,T1,1
Aujargues,2022,T1,1
Aulas,2022,T1,1
Aumessas,2022,T1,3
Avèze,2022,T1,7
Bagard,2022,T1,5
Bagnols-sur-Cèze,2022,T1,310
Barjac,2022,T1,15
Baron,2022,T1,0
La Bastide-d'Engras,2022,T1,1
Beaucaire,2022,T1,152
Beauvoisin,2022,T1,27
Bellegarde,2022,T1,67
Belvézet,2022,T1,2
Bernis,2022,T1,12
Bessèges,2022,T1,16
Bez-et-Esparon,2022,T1,3
Bezouce,2022,T1,10
Blandas,2022,T1,0
Blauzac,2022,T1,2
Boisset-et-Gaujac,2022,T1,5
Boissières,2022,T1,1
Bonnevaux,2022,T1,3
Bordezac,2022,T1,2
Boucoiran-et-Nozières,2022,T1,4
Bouillargues,2022,T1,25
Bouquet,2022,T1,0
Bourdic,2022,T1,0
Bragassargues,2022,T1,0
Branoux-les-Taillades,2022,T1,0
Bréau-Mars,2022,T1,4
Brignon,2022,T1,2
Brouzet-lès-Quissac,2022,T1,3
Brouzet-lès-Alès,2022,T1,0
La Bruguière,2022,T1,1
Cabrières,2022,T1,10
La Cadière-et-Cambo,2022,T1,2
Le Cailar,2022,T1,7
Caissargues,2022,T1,12
La Calmette,2022,T1,25
Calvisson,2022,T1,26
Campestre-et-Luc,2022,T1,0
Canaules-et-Argentières,2022,T1,2
Cannes-et-Clairan,2022,T1,0
La Capelle-et-Masmolène,2022,T1,0
Cardet,2022,T1,5
Carnas,2022,T1,2
Carsan,2022,T1,3
Cassagnoles,2022,T1,0
Castelnau-Valence,2022,T1,3
Castillon-du-Gard,2022,T1,22
Causse-Bégon,2022,T1,0
Caveirac,2022,T1,32
Cavillargues,2022,T1,1
Cendras,2022,T1,7
Chambon,2022,T1,1
Chamborigaud,2022,T1,1
Chusclan,2022,T1,8
Clarensac,2022,T1,17
Codognan,2022,T1,5
Codolet,2022,T1,3
Collias,2022,T1,8
Collorgues,2022,T1,2
Colognac,2022,T1,0
Combas,2022,T1,3
Comps,2022,T1,2
Concoules,2022,T1,2
Congénies,2022,T1,2
Connaux,2022,T1,8
Conqueyrac,2022,T1,0
Corconne,2022,T1,2
Cornillon,2022,T1,3
Courry,2022,T1,2
Crespian,2022,T1,2
Cros,2022,T1,1
Cruviers-Lascours,2022,T1,5
Deaux,2022,T1,1
Dions,2022,T1,3
Domazan,2022,T1,11
Domessargues,2022,T1,0
Dourbies,2022,T1,2
Durfort-et-Saint-Martin-de-Sossenac,2022,T1,5
Estézargues,2022,T1,6
L'Estréchure,2022,T1,0
Euzet,2022,T1,4
Flaux,2022,T1,1
