LIBGEO,AN,TYPE_LOG,NOMBRE
Aigaliers,2022,Résidences principales,229.895704257069
Aigremont,2022,Résidences principales,327.900204715394
Aigues-Mortes,2022,Résidences principales,3983.51345750784
Aigues-Vives,2022,Résidences principales,1417.88635994891
Aiguèze,2022,Résidences principales,110.032157063272
Aimargues,2022,Résidences principales,2372.76839724946
Alès,2022,Résidences principales,23475.1082897706
Allègre-les-Fumades,2022,Résidences principales,437.078007590707
Alzon,2022,Résidences principales,101.214309197786
Anduze,2022,Résidences principales,1660.84225867999
Les Angles,2022,Résidences principales,4549.4079823148
Aramon,2022,Résidences principales,1855.0
Argilliers,2022,Résidences principales,184.427142888156
Arpaillargues-et-Aureillac,2022,Résidences principales,476.0
Arphy,2022,Résidences principales,81.0629370629371
Arre,2022,Résidences principales,141.0
Arrigas,2022,Résidences principales,102.56986532968
Aspères,2022,Résidences principales,234.091396393776
Aubais,2022,Résidences principales,1234.71636503726
Aubord,2022,Résidences principales,957.673166894874
Aubussargues,2022,Résidences principales,151.393191797603
Aujac,2022,Résidences principales,84.3741496598636
Aujargues,2022,Résidences principales,372.004595022762
Aulas,2022,Résidences principales,230.41292039277
Aumessas,2022,Résidences principales,137.638368936352
Avèze,2022,Résidences principales,539.0
Bagard,2022,Résidences principales,1095.12781737609
Bagnols-sur-Cèze,2022,Résidences principales,8662.45110191434
Barjac,2022,Résidences principales,823.0
Baron,2022,Résidences principales,155.0
La Bastide-d'Engras,2022,Résidences principales,95.9981705210019
Beaucaire,2022,Résidences principales,7159.72469170832
Beauvoisin,2022,Résidences principales,2296.25432492513
Bellegarde,2022,Résidences principales,3248.0
Belvézet,2022,Résidences principales,122.469655954322
Bernis,2022,Résidences principales,1416.37966114328
Bessèges,2022,Résidences principales,1359.0
Bez-et-Esparon,2022,Résidences principales,169.591278595745
Bezouce,2022,Résidences principales,1049.0
Blandas,2022,Résidences principales,64.3267973856209
Blauzac,2022,Résidences principales,502.794454931808
Boisset-et-Gaujac,2022,Résidences principales,1079.79413540204
Boissières,2022,Résidences principales,252.0
Bonnevaux,2022,Résidences principales,46.0
Bordezac,2022,Résidences principales,188.53443090307
Boucoiran-et-Nozières,2022,Résidences principales,412.960352020015
Bouillargues,2022,Résidences principales,2716.25504739015
Bouquet,2022,Résidences principales,102.0
Bourdic,2022,Résidences principales,164.29473900669
Bragassargues,2022,Résidences principales,72.4311377245512
Branoux-les-Taillades,2022,Résidences principales,613.203279897404
Bréau-Mars,2022,Résidences principales,308.083987050273
Brignon,2022,Résidences principales,338.0
Brouzet-lès-Quissac,2022,Résidences principales,141.379635148474
Brouzet-lès-Alès,2022,Résidences principales,316.13721559065
La Bruguière,2022,Résidences principales,145.917751764752
Cabrières,2022,Résidences principales,736.27015625359
La Cadière-et-Cambo,2022,Résidences principales,115.0
Le Cailar,2022,Résidences principales,1135.0
Caissargues,2022,Résidences principales,1849.58323583436
La Calmette,2022,Résidences principales,1104.59315828366
Calvisson,2022,Résidences principales,2728.45985125202
Campestre-et-Luc,2022,Résidences principales,78.7835820895523
Canaules-et-Argentières,2022,Résidences principales,203.0
Cannes-et-Clairan,2022,Résidences principales,258.0
La Capelle-et-Masmolène,2022,Résidences principales,190.96936076091
Cardet,2022,Résidences principales,405.6388030739
Carnas,2022,Résidences principales,219.03830340469
Carsan,2022,Résidences principales,325.38008419914
Cassagnoles,2022,Résidences principales,194.0
Castelnau-Valence,2022,Résidences principales,192.362271884217
Castillon-du-Gard,2022,Résidences principales,732.316746099637
Causse-Bégon,2022,Résidences principales,13.4615384615385
Caveirac,2022,Résidences principales,1911.94052958989
Cavillargues,2022,Résidences principales,423.629710095755
Cendras,2022,Résidences principales,804.679841598137
Chambon,2022,Résidences principales,141.0
Chamborigaud,2022,Résidences principales,439.127215378235
Chusclan,2022,Résidences principales,471.158175449923
Clarensac,2022,Résidences principales,1778.69671086337
Codognan,2022,Résidences principales,1082.69018575595
Codolet,2022,Résidences principales,277.69161812049
Collias,2022,Résidences principales,514.126351998483
Collorgues,2022,Résidences principales,270.41458058477
Colognac,2022,Résidences principales,105.252631578947
Combas,2022,Résidences principales,330.0
Comps,2022,Résidences principales,716.54553725779
Concoules,2022,Résidences principales,126.005966049961
Congénies,2022,Résidences principales,726.969467421894
Connaux,2022,Résidences principales,780.606250838263
Conqueyrac,2022,Résidences principales,49.0
Corconne,2022,Résidences principales,275.21024375845
Cornillon,2022,Résidences principales,397.0
Courry,2022,Résidences principales,147.0
Crespian,2022,Résidences principales,196.912278492553
Cros,2022,Résidences principales,132.502092450183
Cruviers-Lascours,2022,Résidences principales,281.854463464869
Deaux,2022,Résidences principales,280.257234206777
Dions,2022,Résidences principales,263.938354115491
Domazan,2022,Résidences principales,405.207871192443
Domessargues,2022,Résidences principales,315.89026020101
Dourbies,2022,Résidences principales,93.7996576704394
Durfort-et-Saint-Martin-de-Sossenac,2022,Résidences principales,355.185319496642
Estézargues,2022,Résidences principales,244.645524926894
L'Estréchure,2022,Résidences principales,83.2611464968153
Euzet,2022,Résidences principales,210.38658962016
Flaux,2022,Résidences principales,158.0
Foissac,2022,Résidences principales,190.202009352645
Fons,2022,Résidences principales,642.163751960803
Fons-sur-Lussan,2022,Résidences principales,123.265073922071
Fontanès,2022,Résidences principales,291.862731444048
Fontarèches,2022,Résidences principales,119.877618752403
Fournès,2022,Résidences principales,454.580589482046
