LIBGEO,AN,LOG,TYPE_HABITAT,NOMBRE
Aigaliers,2022,351,Appartements,19
Aigremont,2022,415,Appartements,21
Aigues-Mortes,2022,5377,Appartements,1528
Aigues-Vives,2022,1629,Appartements,198
Aiguèze,2022,251,Appartements,54
Aimargues,2022,2839,Appartements,465
Alès,2022,25704,Appartements,16063
Allègre-les-Fumades,2022,600,Appartements,51
Alzon,2022,279,Appartements,17
Anduze,2022,2425,Appartements,1110
Les Angles,2022,5140,Appartements,2229
Aramon,2022,2180,Appartements,611
Argilliers,2022,215,Appartements,7
Arpaillargues-et-Aureillac,2022,641,Appartements,38
Arphy,2022,188,Appartements,6
Arre,2022,247,Appartements,53
Arrigas,2022,267,Appartements,14
Aspères,2022,262,Appartements,31
Aubais,2022,1494,Appartements,153
Aubord,2022,1011,Appartements,104
Aubussargues,2022,245,Appartements,12
Aujac,2022,187,Appartements,10
Aujargues,2022,459,Appartements,20
Aulas,2022,408,Appartements,60
Aumessas,2022,343,Appartements,26
Avèze,2022,727,Appartements,204
Bagard,2022,1220,Appartements,80
Bagnols-sur-Cèze,2022,10358,Appartements,5888
Barjac,2022,1115,Appartements,245
Baron,2022,203,Appartements,13
La Bastide-d'Engras,2022,162,Appartements,5
Beaucaire,2022,7876,Appartements,3387
Beauvoisin,2022,2501,Appartements,445
Bellegarde,2022,3583,Appartements,667
Belvézet,2022,238,Appartements,13
Bernis,2022,1544,Appartements,187
Bessèges,2022,2019,Appartements,1143
Bez-et-Esparon,2022,302,Appartements,43
Bezouce,2022,1123,Appartements,178
Blandas,2022,155,Appartements,4
Blauzac,2022,699,Appartements,36
Boisset-et-Gaujac,2022,1235,Appartements,108
Boissières,2022,286,Appartements,9
Bonnevaux,2022,93,Appartements,5
Bordezac,2022,287,Appartements,81
Boucoiran-et-Nozières,2022,491,Appartements,73
Bouillargues,2022,2910,Appartements,485
Bouquet,2022,156,Appartements,1
Bourdic,2022,228,Appartements,19
Bragassargues,2022,97,Appartements,9
Branoux-les-Taillades,2022,860,Appartements,121
Bréau-Mars,2022,517,Appartements,31
Brignon,2022,405,Appartements,48
Brouzet-lès-Quissac,2022,173,Appartements,20
Brouzet-lès-Alès,2022,413,Appartements,42
La Bruguière,2022,259,Appartements,6
Cabrières,2022,799,Appartements,80
La Cadière-et-Cambo,2022,160,Appartements,10
Le Cailar,2022,1272,Appartements,132
Caissargues,2022,1971,Appartements,347
La Calmette,2022,1227,Appartements,195
Calvisson,2022,3490,Appartements,542
Campestre-et-Luc,2022,145,Appartements,8
Canaules-et-Argentières,2022,256,Appartements,10
Cannes-et-Clairan,2022,290,Appartements,21
La Capelle-et-Masmolène,2022,290,Appartements,8
Cardet,2022,500,Appartements,34
Carnas,2022,293,Appartements,8
Carsan,2022,376,Appartements,11
Cassagnoles,2022,229,Appartements,17
Castelnau-Valence,2022,262,Appartements,6
Castillon-du-Gard,2022,943,Appartements,63
Causse-Bégon,2022,17,Appartements,1
Caveirac,2022,2085,Appartements,354
Cavillargues,2022,548,Appartements,101
Cendras,2022,1017,Appartements,458
Chambon,2022,307,Appartements,14
Chamborigaud,2022,703,Appartements,190
Chusclan,2022,538,Appartements,91
Clarensac,2022,1936,Appartements,237
Codognan,2022,1216,Appartements,137
Codolet,2022,338,Appartements,82
Collias,2022,773,Appartements,62
Collorgues,2022,332,Appartements,16
Colognac,2022,225,Appartements,34
Combas,2022,377,Appartements,39
Comps,2022,813,Appartements,68
Concoules,2022,344,Appartements,15
Congénies,2022,824,Appartements,64
Connaux,2022,880,Appartements,111
Conqueyrac,2022,73,Appartements,16
Corconne,2022,349,Appartements,16
Cornillon,2022,585,Appartements,98
Courry,2022,248,Appartements,13
Crespian,2022,220,Appartements,13
Cros,2022,255,Appartements,21
Cruviers-Lascours,2022,332,Appartements,25
Deaux,2022,317,Appartements,17
Dions,2022,344,Appartements,33
Domazan,2022,490,Appartements,79
Domessargues,2022,383,Appartements,55
Dourbies,2022,570,Appartements,27
Durfort-et-Saint-Martin-de-Sossenac,2022,540,Appartements,32
Estézargues,2022,279,Appartements,26
L'Estréchure,2022,230,Appartements,39
Euzet,2022,275,Appartements,19
Flaux,2022,246,Appartements,3
Foissac,2022,231,Appartements,14
Fons,2022,703,Appartements,44
Fons-sur-Lussan,2022,198,Appartements,6
Fontanès,2022,343,Appartements,49
Fontarèches,2022,198,Appartements,4
Fournès,2022,531,Appartements,22
Fourques,2022,1398,Appartements,242
Fressac,2022,110,Appartements,11
Gagnières,2022,798,Appartements,238
Gailhan,2022,161,Appartements,15
Gajan,2022,355,Appartements,41
Gallargues-le-Montueux,2022,2050,Appartements,307
Le Garn,2022,191,Appartements,8
Garons,2022,2190,Appartements,517
Garrigues-Sainte-Eulalie,2022,434,Appartements,19
Gaujac,2022,603,Appartements,29
Générac,2022,1971,Appartements,341
Générargues,2022,470,Appartements,87
Génolhac,2022,872,Appartements,201
Goudargues,2022,827,Appartements,152
La Grand-Combe,2022,3103,Appartements,1972
Le Grau-du-Roi,2022,24196,Appartements,21612
Issirac,2022,252,Appartements,17
Jonquières-Saint-Vincent,2022,1719,Appartements,205
Junas,2022,644,Appartements,41
Lamelouze,2022,120,Appartements,8
Langlade,2022,1051,Appartements,57
Lanuéjols,2022,486,Appartements,101
Lasalle,2022,1001,Appartements,292
Laudun-l'Ardoise,2022,2884,Appartements,497
Laval-Pradel,2022,676,Appartements,93
Laval-Saint-Roman,2022,157,Appartements,11
Lecques,2022,221,Appartements,15
Lédenon,2022,776,Appartements,62
Lédignan,2022,753,Appartements,129
Lézan,2022,828,Appartements,175
Liouc,2022,166,Appartements,13
Lirac,2022,477,Appartements,56
Logrian-Florian,2022,174,Appartements,7
Lussan,2022,502,Appartements,39
Les Mages,2022,1196,Appartements,95
Malons-et-Elze,2022,209,Appartements,3
Mandagout,2022,378,Appartements,20
Manduel,2022,3154,Appartements,470
Marguerittes,2022,4039,Appartements,568
Martignargues,2022,217,Appartements,8
Le Martinet,2022,594,Appartements,283
Maruéjols-lès-Gardon,2022,144,Appartements,32
Massanes,2022,120,Appartements,10
Massillargues-Attuech,2022,440,Appartements,48
Mauressargues,2022,91,Appartements,10
Méjannes-le-Clap,2022,975,Appartements,44
Méjannes-lès-Alès,2022,596,Appartements,51
Meynes,2022,1223,Appartements,192
Meyrannes,2022,620,Appartements,171
Mialet,2022,658,Appartements,83
Milhaud,2022,2893,Appartements,736
Molières-Cavaillac,2022,546,Appartements,68
Molières-sur-Cèze,2022,1008,Appartements,587
Monoblet,2022,489,Appartements,47
Mons,2022,895,Appartements,58
Montaren-et-Saint-Médiers,2022,854,Appartements,60
Montclus,2022,205,Appartements,26
Montdardier,2022,212,Appartements,29
Monteils,2022,317,Appartements,13
Montfaucon,2022,710,Appartements,62
Montfrin,2022,1676,Appartements,189
Montignargues,2022,255,Appartements,16
Montmirat,2022,203,Appartements,11
Montpezat,2022,640,Appartements,75
Moulézan,2022,331,Appartements,33
Moussac,2022,743,Appartements,84
Mus,2022,714,Appartements,65
Nages-et-Solorgues,2022,965,Appartements,59
Navacelles,2022,205,Appartements,15
Ners,2022,443,Appartements,45
Nîmes,2022,86696,Appartements,60260
Orsan,2022,583,Appartements,26
Orthoux-Sérignac-Quilhan,2022,283,Appartements,21
Parignargues,2022,284,Appartements,21
Peyremale,2022,270,Appartements,7
Peyrolles,2022,39,Appartements,2
Le Pin,2022,258,Appartements,9
Les Plans,2022,143,Appartements,16
Les Plantiers,2022,306,Appartements,86
Pommiers,2022,62,Appartements,1
Pompignan,2022,513,Appartements,48
Ponteils-et-Brésis,2022,335,Appartements,6
Pont-Saint-Esprit,2022,6055,Appartements,2338
Portes,2022,269,Appartements,77
Potelières,2022,217,Appartements,18
Pougnadoresse,2022,162,Appartements,2
Poulx,2022,1904,Appartements,117
Pouzilhac,2022,372,Appartements,32
Puechredon,2022,25,Appartements,7
Pujaut,2022,1963,Appartements,162
Quissac,2022,1800,Appartements,592
Redessan,2022,1837,Appartements,338
Remoulins,2022,1334,Appartements,500
Revens,2022,53,Appartements,2
Ribaute-les-Tavernes,2022,1033,Appartements,95
Rivières,2022,276,Appartements,38
Robiac-Rochessadoule,2022,668,Appartements,223
Rochefort-du-Gard,2022,3616,Appartements,396
Rochegude,2022,209,Appartements,11
Rogues,2022,109,Appartements,7
Roquedur,2022,151,Appartements,8
Roquemaure,2022,2876,Appartements,867
La Roque-sur-Cèze,2022,172,Appartements,9
Rousson,2022,2077,Appartements,151
La Rouvière,2022,351,Appartements,59
Sabran,2022,987,Appartements,42
Saint-Alexandre,2022,620,Appartements,38
Saint-Ambroix,2022,2436,Appartements,992
Sainte-Anastasie,2022,938,Appartements,50
Saint-André-de-Majencoules,2022,625,Appartements,44
Saint-André-de-Roquepertuis,2022,447,Appartements,51
Saint-André-de-Valborgne,2022,591,Appartements,46
Saint-André-d'Olérargues,2022,276,Appartements,12
Saint-Bauzély,2022,292,Appartements,31
Saint-Bénézet,2022,140,Appartements,14
Saint-Bonnet-du-Gard,2022,431,Appartements,40
Saint-Bonnet-de-Salendrinque,2022,76,Appartements,7
Saint-Brès,2022,471,Appartements,36
Saint-Bresson,2022,86,Appartements,10
Sainte-Cécile-d'Andorge,2022,361,Appartements,38
Saint-Césaire-de-Gauzignan,2022,202,Appartements,16
Saint-Chaptes,2022,969,Appartements,167
Saint-Christol-de-Rodières,2022,135,Appartements,10
Saint-Christol-lez-Alès,2022,3522,Appartements,566
Saint-Clément,2022,190,Appartements,15
Saint-Côme-et-Maruéjols,2022,383,Appartements,64
Sainte-Croix-de-Caderle,2022,94,Appartements,15
Saint-Denis,2022,226,Appartements,27
Saint-Dézéry,2022,224,Appartements,22
Saint-Dionisy,2022,481,Appartements,58
Saint-Étienne-de-l'Olm,2022,202,Appartements,6
Saint-Étienne-des-Sorts,2022,326,Appartements,78
Saint-Félix-de-Pallières,2022,198,Appartements,21
Saint-Florent-sur-Auzonnet,2022,835,Appartements,288
Saint-Geniès-de-Comolas,2022,941,Appartements,106
Saint-Geniès-de-Malgoirès,2022,1478,Appartements,349
Saint-Gervais,2022,452,Appartements,33
Saint-Gervasy,2022,859,Appartements,113
Saint-Gilles,2022,7055,Appartements,2276
Saint-Hilaire-de-Brethmas,2022,2288,Appartements,251
Saint-Hilaire-d'Ozilhan,2022,538,Appartements,28
Saint-Hippolyte-de-Caton,2022,149,Appartements,4
Saint-Hippolyte-de-Montaigu,2022,165,Appartements,1
Saint-Hippolyte-du-Fort,2022,2376,Appartements,831
Saint-Jean-de-Ceyrargues,2022,107,Appartements,4
Saint-Jean-de-Crieulon,2022,152,Appartements,15
Saint-Jean-de-Maruéjols-et-Avéjan,2022,704,Appartements,108
Saint-Jean-de-Serres,2022,308,Appartements,31
Saint-Jean-de-Valériscle,2022,436,Appartements,126
Saint-Jean-du-Gard,2022,1870,Appartements,723
Saint-Jean-du-Pin,2022,768,Appartements,77
Saint-Julien-de-Cassagnas,2022,399,Appartements,52
Saint-Julien-de-la-Nef,2022,131,Appartements,19
Saint-Julien-de-Peyrolas,2022,810,Appartements,38
Saint-Julien-les-Rosiers,2022,1679,Appartements,195
Saint-Just-et-Vacquières,2022,179,Appartements,11
Saint-Laurent-d'Aigouze,2022,2125,Appartements,374
Saint-Laurent-de-Carnols,2022,319,Appartements,11
Saint-Laurent-des-Arbres,2022,1401,Appartements,109
Saint-Laurent-la-Vernède,2022,458,Appartements,26
Saint-Laurent-le-Minier,2022,345,Appartements,50
Saint-Mamert-du-Gard,2022,743,Appartements,73
Saint-Marcel-de-Careiret,2022,465,Appartements,12
Saint-Martial,2022,268,Appartements,8
Saint-Martin-de-Valgalgues,2022,2311,Appartements,656
Saint-Maurice-de-Cazevieille,2022,415,Appartements,48
Saint-Maximin,2022,507,Appartements,24
Saint-Michel-d'Euzet,2022,424,Appartements,23
Saint-Nazaire,2022,664,Appartements,189
Saint-Nazaire-des-Gardies,2022,47,Appartements,3
Saint-Paulet-de-Caisson,2022,1052,Appartements,110
Saint-Paul-la-Coste,2022,294,Appartements,18
Saint-Pons-la-Calm,2022,271,Appartements,20
Saint-Privat-de-Champclos,2022,287,Appartements,19
Saint-Privat-des-Vieux,2022,2663,Appartements,300
Saint-Quentin-la-Poterie,2022,1819,Appartements,173
Saint-Roman-de-Codières,2022,203,Appartements,13
Saint-Sauveur-Camprieu,2022,627,Appartements,25
Saint-Sébastien-d'Aigrefeuille,2022,349,Appartements,16
Saint-Siffret,2022,815,Appartements,38
Saint-Théodorit,2022,288,Appartements,27
Saint-Victor-des-Oules,2022,211,Appartements,5
Saint-Victor-la-Coste,2022,1094,Appartements,61
Saint-Victor-de-Malcap,2022,512,Appartements,38
Salazac,2022,165,Appartements,9
Salindres,2022,1870,Appartements,484
Salinelles,2022,310,Appartements,54
Les Salles-du-Gardon,2022,1444,Appartements,615
Sanilhac-Sagriès,2022,546,Appartements,60
Sardan,2022,186,Appartements,13
Saumane,2022,271,Appartements,61
Sauve,2022,1353,Appartements,485
Sauveterre,2022,943,Appartements,84
Sauzet,2022,384,Appartements,27
